state,gender,education,age,n
Mecklenburg-Vorpommern,male,0,6,0
Mecklenburg-Vorpommern,male,0,7,0
Mecklenburg-Vorpommern,male,0,8,0
Mecklenburg-Vorpommern,male,2,1,24490
Mecklenburg-Vorpommern,male,2,2,19240
Mecklenburg-Vorpommern,male,2,3,8130
Mecklenburg-Vorpommern,male,2,4,7330
Mecklenburg-Vorpommern,male,2,5,9410
Mecklenburg-Vorpommern,male,2,6,6280
Mecklenburg-Vorpommern,male,2,7,10630
Mecklenburg-Vorpommern,male,2,8,4090
Mecklenburg-Vorpommern,male,4,1,2260
Mecklenburg-Vorpommern,male,4,2,78400
Mecklenburg-Vorpommern,male,4,3,64250
Mecklenburg-Vorpommern,male,4,4,90870
Mecklenburg-Vorpommern,male,4,5,88320
Mecklenburg-Vorpommern,male,4,6,43840
Mecklenburg-Vorpommern,male,4,7,36480
Mecklenburg-Vorpommern,male,4,8,10080
Mecklenburg-Vorpommern,male,5,1,30
Mecklenburg-Vorpommern,male,5,2,9800
Mecklenburg-Vorpommern,male,5,3,19470
Mecklenburg-Vorpommern,male,5,4,33480
Mecklenburg-Vorpommern,male,5,5,41660
Mecklenburg-Vorpommern,male,5,6,37250
Mecklenburg-Vorpommern,male,5,7,33860
Mecklenburg-Vorpommern,male,5,8,9050
Niedersachsen,female,-1,1,0
Niedersachsen,female,-1,2,0
Niedersachsen,female,-1,3,0
Niedersachsen,female,-1,4,0
Niedersachsen,female,-1,5,0
Niedersachsen,female,-1,6,0
Niedersachsen,female,-1,7,0
Niedersachsen,female,-1,8,0
Niedersachsen,female,0,1,0
Niedersachsen,female,0,2,0
Niedersachsen,female,0,3,0
Niedersachsen,female,0,4,0
Niedersachsen,female,0,5,0
Niedersachsen,female,0,6,0
Niedersachsen,female,0,7,0
Niedersachsen,female,0,8,0
Niedersachsen,female,2,1,198490
Niedersachsen,female,2,2,92370
Niedersachsen,female,2,3,69520
Niedersachsen,female,2,4,104720
Niedersachsen,female,2,5,112450
Niedersachsen,female,2,6,125700
Niedersachsen,female,2,7,215110
Niedersachsen,female,2,8,163040
Niedersachsen,female,4,1,14390
Niedersachsen,female,4,2,247230
Niedersachsen,female,4,3,236470
Niedersachsen,female,4,4,379410
Niedersachsen,female,4,5,305180
Niedersachsen,female,4,6,244370
Niedersachsen,female,4,7,179080
Niedersachsen,female,4,8,92960
Niedersachsen,female,5,1,670
Niedersachsen,female,5,2,84280
Niedersachsen,female,5,3,130990
Niedersachsen,female,5,4,165100
Niedersachsen,female,5,5,131790
Niedersachsen,female,5,6,70750
Niedersachsen,female,5,7,36810
Niedersachsen,female,5,8,18460
Niedersachsen,male,-1,1,0
Niedersachsen,male,-1,2,0
Niedersachsen,male,-1,3,0
Niedersachsen,male,-1,4,0
Niedersachsen,male,-1,5,0
Niedersachsen,male,-1,6,0
Niedersachsen,male,-1,7,0
Niedersachsen,male,-1,8,0
Niedersachsen,male,0,1,0
Niedersachsen,male,0,2,0
Niedersachsen,male,0,3,0
Niedersachsen,male,0,4,0
Niedersachsen,male,0,5,0
Niedersachsen,male,0,6,0
Niedersachsen,male,0,7,0
Niedersachsen,male,0,8,0
Niedersachsen,male,2,1,209560
Niedersachsen,male,2,2,103000
Niedersachsen,male,2,3,58930
Niedersachsen,male,2,4,82930
Niedersachsen,male,2,5,72280
Niedersachsen,male,2,6,52570
Niedersachsen,male,2,7,69710
Niedersachsen,male,2,8,31920
Niedersachsen,male,4,1,13020
Niedersachsen,male,4,2,275340
Niedersachsen,male,4,3,242690
Niedersachsen,male,4,4,362750
Niedersachsen,male,4,5,304910
Niedersachsen,male,4,6,234680
Niedersachsen,male,4,7,201240
Niedersachsen,male,4,8,73900
Niedersachsen,male,5,1,60
Niedersachsen,male,5,2,56370
Niedersachsen,male,5,3,129800
Niedersachsen,male,5,4,209870
Niedersachsen,male,5,5,170570
Niedersachsen,male,5,6,137060
Niedersachsen,male,5,7,89490
Niedersachsen,male,5,8,28340
Nordrhein-Westfalen,female,-1,1,0
Nordrhein-Westfalen,female,-1,2,0
Nordrhein-Westfalen,female,-1,3,0
Nordrhein-Westfalen,female,-1,4,0
Nordrhein-Westfalen,female,-1,5,0
Nordrhein-Westfalen,female,-1,6,0
Nordrhein-Westfalen,female,-1,7,0
Nordrhein-Westfalen,female,-1,8,0
Nordrhein-Westfalen,female,0,1,0
Nordrhein-Westfalen,female,0,2,0
Nordrhein-Westfalen,female,0,3,0
Nordrhein-Westfalen,female,0,4,0
Nordrhein-Westfalen,female,0,5,0
Nordrhein-Westfalen,female,0,6,0
Nordrhein-Westfalen,female,0,7,0
Nordrhein-Westfalen,female,0,8,0
Nordrhein-Westfalen,female,2,1,429060
Nordrhein-Westfalen,female,2,2,217390
Nordrhein-Westfalen,female,2,3,196420
Nordrhein-Westfalen,female,2,4,257060
Nordrhein-Westfalen,female,2,5,261750
Nordrhein-Westfalen,female,2,6,259020
Nordrhein-Westfalen,female,2,7,414370
Nordrhein-Westfalen,female,2,8,327070
Nordrhein-Westfalen,female,4,1,34350
Nordrhein-Westfalen,female,4,2,591890
Nordrhein-Westfalen,female,4,3,510120
Nordrhein-Westfalen,female,4,4,813890
Nordrhein-Westfalen,female,4,5,702410
Nordrhein-Westfalen,female,4,6,560870
Nordrhein-Westfalen,female,4,7,474810
Nordrhein-Westfalen,female,4,8,246310
Nordrhein-Westfalen,female,5,1,1920
Nordrhein-Westfalen,female,5,2,214750
Nordrhein-Westfalen,female,5,3,323050
Nordrhein-Westfalen,female,5,4,384000
Nordrhein-Westfalen,female,5,5,300510
Nordrhein-Westfalen,female,5,6,151030
Nordrhein-Westfalen,female,5,7,81770
Nordrhein-Westfalen,female,5,8,44260
Nordrhein-Westfalen,male,-1,1,0
Nordrhein-Westfalen,male,-1,2,0
Nordrhein-Westfalen,male,-1,3,0
Nordrhein-Westfalen,male,-1,4,0
Nordrhein-Westfalen,male,-1,5,0
Nordrhein-Westfalen,male,-1,6,0
Nordrhein-Westfalen,male,-1,7,0
Nordrhein-Westfalen,male,-1,8,0
Nordrhein-Westfalen,male,0,1,0
Nordrhein-Westfalen,male,0,2,0
Nordrhein-Westfalen,male,0,3,0
Nordrhein-Westfalen,male,0,4,0
Nordrhein-Westfalen,male,0,5,0
Nordrhein-Westfalen,male,0,6,0
Nordrhein-Westfalen,male,0,7,0
Nordrhein-Westfalen,male,0,8,0
Nordrhein-Westfalen,male,2,1,457950
Nordrhein-Westfalen,male,2,2,243930
Nordrhein-Westfalen,male,2,3,166530
Nordrhein-Westfalen,male,2,4,206220
Nordrhein-Westfalen,male,2,5,178670
Nordrhein-Westfalen,male,2,6,139770
Nordrhein-Westfalen,male,2,7,145260
Nordrhein-Westfalen,male,2,8,59380
Nordrhein-Westfalen,male,4,1,30720
Nordrhein-Westfalen,male,4,2,648240
Nordrhein-Westfalen,male,4,3,531800
Nordrhein-Westfalen,male,4,4,778760
Nordrhein-Westfalen,male,4,5,664640
Nordrhein-Westfalen,male,4,6,482910
Nordrhein-Westfalen,male,4,7,443660
Nordrhein-Westfalen,male,4,8,169930
Nordrhein-Westfalen,male,5,1,450
Nordrhein-Westfalen,male,5,2,141430
Nordrhein-Westfalen,male,5,3,304470
Nordrhein-Westfalen,male,5,4,492090
Nordrhein-Westfalen,male,5,5,395190
Nordrhein-Westfalen,male,5,6,274070
Nordrhein-Westfalen,male,5,7,196410
