state,gender,age,education,eher mehr,eher weniger,kein großer Unterschied,cohesion_c,n,incidence_rate,case_fatality_ratio,sub_national_hdi,health_index,income_index,educational_index
Mecklenburg-Vorpommern,female,4,2,1,0,0,1,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,4,4,0,1,0,0,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,4,5,0,2,2,0,4,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,5,2,0,0,3,0,3,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,5,4,0,0,1,0,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,6,2,5,2,3,5,10,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,6,5,1,2,1,1,4,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,7,2,1,1,2,1,4,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,7,4,1,0,0,1,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,7,5,1,0,0,1,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,8,2,3,0,0,3,3,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,female,8,5,0,1,2,0,3,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,male,2,4,1,0,0,1,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,male,3,0,1,0,0,1,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,male,3,2,0,1,0,0,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,male,3,4,0,0,1,0,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,male,4,2,0,1,2,0,3,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,male,4,4,1,0,0,1,1,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,male,4,5,0,0,3,0,3,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
Mecklenburg-Vorpommern,male,5,2,4,0,1,4,5,49.32672744498113,2.5188916876574305,0.91,0.926,0.869,0.936
